process_run_id,taxid,sciname,rank,read_count,abundance
CI16_taxclass,59732,Chryseobacterium,G,56544,0.950607
CI16_taxclass,2879938,Chryseobacterium sp. MEBOG06,S,1913,0.032161
CI16_taxclass,1033900,Chryseobacterium sp. PMSZPI,S,1795,0.030177
CI16_taxclass,2487064,Chryseobacterium sp. G0186,S,1295,0.021771
CI16_taxclass,878220,Chryseobacterium sp. StRB126,S,1051,0.017669
CI16_taxclass,2879939,Chryseobacterium sp. MEBOG07,S,1050,0.017652
CI16_taxclass,3415265,Chryseobacterium sp. CBSDS_008,S,918,0.015433
CI16_taxclass,3231511,Chryseobacterium sp. KCF3-3,S,882,0.014828
CI16_taxclass,3094839,Chryseobacterium sp. HR92,S,630,0.010591
CI16_taxclass,2487063,Chryseobacterium sp. G0162,S,615,0.010339
CI16_taxclass,2966625,Chryseobacterium sp. MA9,S,586,0.009852
CI16_taxclass,3459744,Chryseobacterium sp. CT-SW4,S,409,0.006876
CI16_taxclass,2745153,Chryseobacterium sp. MYb264,S,342,0.00575
CI16_taxclass,2015076,Chryseobacterium sp. T16E-39,S,295,0.004959
CI16_taxclass,1721091,Chryseobacterium sp. IHB B 17019,S,265,0.004455
CI16_taxclass,3138177,Chryseobacterium sp. POE27,S,238,0.004001
CI16_taxclass,2920939,Chryseobacterium sp. Y16C,S,213,0.003581
CI16_taxclass,3386644,Chryseobacterium sp. MMS23-Vi53,S,208,0.003497
CI16_taxclass,3400631,Chryseobacterium sp. PTM-20240506,S,181,0.003043
CI16_taxclass,3404064,Chryseobacterium sp. S-02,S,139,0.002337
CI16_taxclass,3416668,Chryseobacterium sp. R2ACT005,S,133,0.002236
CI16_taxclass,2838877,Chryseobacterium sp. ZHDP1,S,124,0.002085
CI16_taxclass,2487065,Chryseobacterium sp. G0201,S,121,0.002034
CI16_taxclass,3093923,Chryseobacterium sp. JJR-5R,S,114,0.001917
CI16_taxclass,2893882,Chryseobacterium sp. C-71,S,79,0.001328
CI16_taxclass,3116594,Chryseobacterium sp. CP-77,S,72,0.00121
CI16_taxclass,2478663,Chryseobacterium sp. 3008163,S,61,0.001026
CI16_taxclass,3074145,Chryseobacterium sp. SG20098,S,46,0.000773
CI16_taxclass,1932669,Chryseobacterium sp. JV274,S,42,0.000706
CI16_taxclass,3139392,Chryseobacterium sp. Chry.R1,S,42,0.000706
CI16_taxclass,2713414,Chryseobacterium sp. POL2,S,39,0.000656
CI16_taxclass,3031803,Chryseobacterium sp. WX,S,35,0.000588
CI16_taxclass,2039166,Chryseobacterium sp. 6424,S,23,0.000387
CI16_taxclass,2825845,Chryseobacterium sp. PCH239,S,17,0.000286
CI16_taxclass,2983267,Chryseobacterium sp. PET-29,S,13,0.000219
CI16_taxclass,3379128,Chryseobacterium sp. M5,S,12,0.000202
CI16_taxclass,2856522,Chryseobacterium sp. D764,S,12,0.000202
